team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
BOS,2008,BOS,2008020078,BOS,PIT,HOME,20081020,Team Level,other,0.6805,0.5,0.5,218,4.612,0.575,0.259,0.966,0.133,1.934,2.133,0.559,0.575,0.559,5,1,1,7,0,1,0,0,0,3,2,5,6,1,2,7,1,2,0,4,0,2,0.131,0,0.444,0,0,0,7,6,6,0,0.061,0.21,0.21,0.426,0.426,0.425,4.311,0.27,0.237,0.929,0.143,2.086,2.335,0.269,0.27,0.269,5,1,1,7,0,0,0,1,0,4,1,5,6,1,2,3,1,2,0,5,1,0,0.104,0.166,0,0,0,0,7,6,6,0,0.065,0,0,0.335,0.335,0.333
BOS,2008,BOS,2008020078,BOS,PIT,HOME,20081020,Team Level,all,0.5974,0.5872,0.5714,3900,32.555,2.692,2.17,6.986,0.996,18.262,16.894,2.66,2.615,2.583,36,12,16,64,1,1,0,11,1,14,20,35,47,5,13,31,20,7,6,38,7,3,1.138,0.897,0.656,1,0,0,61.985,48,46.585,1,0.477,0.21,0.21,2.959,2.867,2.843,25.833,1.814,1.634,5.203,0.773,13.014,13.562,1.774,1.92,1.876,32,4,9,45,1,2,1,7,1,12,13,31,35,7,17,35,20,6,6,29,6,1,0.747,0.838,0.229,0,0,1,46.663,36,37.361,2,0.365,0.255,0.255,1.924,2.022,2.017
BOS,2008,BOS,2008020078,BOS,PIT,HOME,20081020,Team Level,5on5,0.4778,0.5949,0.5714,2995,20.816,1.343,1.295,4.672,0.664,11.766,12.26,1.337,1.266,1.26,22,10,15,47,0,0,0,8,0,9,15,22,32,4,11,17,17,4,5,27,5,0,0.693,0.65,0,0,0,0,44.985,32,30.585,1,0.267,0,0,1.61,1.517,1.509,17.152,1.468,1.011,3.551,0.49,8.544,8.935,1.43,1.574,1.532,23,1,8,32,1,1,1,6,1,6,9,22,23,6,15,26,18,4,6,18,5,1,0.568,0.672,0.229,0,0,1,33.663,24,25.361,2,0.208,0.229,0.229,1.448,1.546,1.543
BOS,2008,BOS,2008020078,BOS,PIT,HOME,20081020,Team Level,4on5,0.7544,0.1667,0.1667,257,0.884,0.212,0.073,0.062,0.02,0.213,0.421,0.212,0.212,0.212,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,2,1,0,0,0,1,0,0,0.212,0,0,0,1,1,1,0,0.018,0,0,0.23,0.23,0.23,3.481,0.069,0.38,0.679,0.118,2.169,1.585,0.069,0.069,0.069,3,2,0,5,0,1,0,0,0,2,2,3,5,0,0,2,0,0,0,5,0,0,0.069,0,0,0,0,0,5,5,5,0,0.09,0.026,0.026,0.133,0.133,0.132
BOS,2008,BOS,2008020078,BOS,PIT,HOME,20081020,Team Level,5on4,0.9894,0.9,0.9,430,6.244,0.562,0.542,1.286,0.179,4.35,2.081,0.552,0.562,0.552,8,1,0,9,1,0,0,3,0,2,3,7,8,0,0,6,0,0,1,7,2,0,0.314,0.247,0,1,0,0,9,9,9,0,0.131,0,0,0.693,0.693,0.679,0.888,0.006,0.006,0.043,0.022,0.215,0.707,0.006,0.006,0.006,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,4,1,0,0,1,0,0,0.006,0,0,0,0,0,1,1,1,0,0.002,0,0,0.008,0.008,0.008
BOS,2008,BOS,2008020082,BOS,BUF,AWAY,20081021,Team Level,other,0.7653,0.5,0.4444,118,2.726,0.388,0.195,0.598,0.098,1.593,1.128,0.388,0.388,0.388,3,1,2,6,0,0,0,1,0,2,1,3,4,0,0,3,3,1,2,2,2,0,0.121,0.267,0,0,0,0,6,4,4,0,0.055,0,0,0.443,0.443,0.443,3.58,0.119,0.176,0.936,0.108,2.014,1.649,0.119,0.119,0.119,5,0,1,6,0,0,0,2,0,2,1,5,5,1,2,6,2,1,3,5,0,0,0.119,0,0,0,0,0,6,5,5,0,0.041,0,0,0.16,0.16,0.16
BOS,2008,BOS,2008020082,BOS,BUF,AWAY,20081021,Team Level,all,0.5817,0.5143,0.5316,3900,28.578,2.371,1.894,6.859,0.979,17.556,12.342,2.353,2.494,2.475,32,10,12,54,2,3,0,5,0,11,21,30,40,4,8,32,17,2,15,34,5,3,0.841,0.582,0.948,0,0,2,56.359,42,43.793,8,0.432,0.472,0.472,2.33,2.433,2.423,25.754,1.705,1.649,6.234,0.812,14.318,12.282,1.704,1.629,1.628,30,7,14,51,2,0,0,3,0,8,24,28,35,6,12,23,20,3,13,31,5,1,0.941,0.486,0.278,1,0,1,48.43,37,35.294,6,0.352,0,0,2.057,1.967,1.966
BOS,2008,BOS,2008020082,BOS,BUF,AWAY,20081021,Team Level,5on5,0.5739,0.4865,0.537,2893,19.47,1.568,1.155,4.988,0.693,11.509,9.088,1.551,1.692,1.673,21,8,7,36,1,3,0,2,0,7,16,20,28,3,6,20,12,1,11,24,3,2,0.665,0.315,0.588,0,0,1,38.359,29,30.793,6,0.231,0.472,0.472,1.327,1.429,1.421,16.734,1.164,1.024,4.346,0.556,9.717,8.193,1.163,1.088,1.087,19,6,13,38,1,0,0,1,0,6,17,18,24,5,10,12,17,2,9,21,3,1,0.591,0.295,0.278,0,0,1,35.43,25,23.294,5,0.205,0,0,1.369,1.278,1.277
BOS,2008,BOS,2008020082,BOS,BUF,AWAY,20081021,Team Level,4on5,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.677,0.373,0.422,0.808,0.128,2.376,1.893,0.373,0.373,0.373,5,1,0,6,1,0,0,0,0,0,5,4,5,0,0,2,1,0,0,4,2,0,0.181,0.191,0,1,0,0,6,6,6,0,0.1,0,0,0.473,0.473,0.473
BOS,2008,BOS,2008020082,BOS,BUF,AWAY,20081021,Team Level,5on4,0.8922,0.9231,0.9,523,6.382,0.414,0.544,1.273,0.188,4.454,2.127,0.413,0.414,0.413,8,1,3,12,1,0,0,2,0,2,4,7,8,1,2,5,0,0,2,8,0,1,0.054,0,0.36,0,0,1,12,9,9,2,0.146,0,0,0.56,0.56,0.558,0.763,0.05,0.027,0.144,0.021,0.211,0.547,0.05,0.05,0.05,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,3,0,0,1,1,0,0,0.05,0,0,0,0,0,1,1,1,1,0.006,0,0,0.056,0.056,0.056
